"TOWN_ID","TOWN","COUNTY_ID","COUNTY","A0A14_CNT","A0A14_M","A0A14_F","A15A64_CNT","A15A64_M","A15A64_F","A65UP_CNT","A65UP_M","A65UP_F","INFO_TIME","Area","POP","ODD"
"64000130","林園區","64000","高雄市",8416,4396,4020,52450,26686,25764,9121,4256,4865,"107Y06M",35.784537796037,69987,0.130324203066284
"64000140","大寮區","64000","高雄市",11676,6041,5635,86031,44642,41389,14662,6761,7901,"107Y06M",70.0830527544818,112369,0.130480826562486
"64000150","大樹區","64000","高雄市",4430,2336,2094,31255,16320,14935,6952,3185,3767,"107Y06M",67.4827059063607,42637,0.163050871308957
"64000160","大社區","64000","高雄市",3518,1856,1662,26521,13579,12942,4612,2122,2490,"107Y06M",25.3434169546223,34651,0.133098611872673
"64000170","仁武區","64000","高雄市",10903,5629,5274,66261,33804,32457,9563,4572,4991,"107Y06M",37.8044734770679,86727,0.110265545908425
"64000180","鳥松區","64000","高雄市",3993,2117,1876,33535,16983,16552,6751,3302,3449,"107Y06M",24.6982919791433,44279,0.152465051152917
"64000190","岡山區","64000","高雄市",12650,6625,6025,71072,35534,35538,13423,6020,7403,"107Y06M",49.6987504435577,97145,0.138174893200885
"64000200","橋頭區","64000","高雄市",4021,2081,1940,27583,14113,13470,6015,2876,3139,"107Y06M",24.3664783697278,37619,0.159892607458997
"64000210","燕巢區","64000","高雄市",2901,1519,1382,22002,11720,10282,4904,2450,2454,"107Y06M",68.2623085794967,29807,0.164525111550978
"64000220","田寮區","64000","高雄市",388,188,200,4832,2780,2052,1997,1017,980,"107Y06M",90.2428768206868,7217,0.276707773313011
"64000230","阿蓮區","64000","高雄市",3271,1667,1604,21204,10926,10278,4261,1916,2345,"107Y06M",34.9161951671212,28736,0.148280902004454
"64000240","路竹區","64000","高雄市",6992,3716,3276,37796,19440,18356,7817,3692,4125,"107Y06M",50.6056476708543,52605,0.148598042011216
"64000250","湖內區","64000","高雄市",3192,1641,1551,22282,11559,10723,4361,2037,2324,"107Y06M",21.7453714613865,29835,0.146170604994134
"64000260","茄萣區","64000","高雄市",2885,1482,1403,22307,11741,10566,4890,2257,2633,"107Y06M",17.0494227951465,30082,0.162555681138222
"64000270","永安區","64000","高雄市",1514,800,714,10551,5337,5214,1857,867,990,"107Y06M",26.801903766679,13922,0.133386007757506
"64000280","彌陀區","64000","高雄市",2167,1105,1062,14111,7375,6736,3026,1425,1601,"107Y06M",14.7244959234338,19304,0.156755076668048
"64000290","梓官區","64000","高雄市",3675,1916,1759,27170,14265,12905,5043,2296,2747,"107Y06M",11.8423029308109,35888,0.140520508247882
"64000300","旗山區","64000","高雄市",3600,1856,1744,25663,13680,11983,7551,3487,4064,"107Y06M",94.579877269489,36814,0.205112185581572
"64000310","美濃區","64000","高雄市",3263,1697,1566,26749,14441,12308,9747,4716,5031,"107Y06M",118.529722189514,39759,0.24515204104731
"64000320","六龜區","64000","高雄市",1135,582,553,9145,5122,4023,2728,1309,1419,"107Y06M",180.291311592444,13008,0.209717097170972
"64000330","甲仙區","64000","高雄市",490,263,227,4370,2414,1956,1223,562,661,"107Y06M",123.885894352206,6083,0.201052112444518
"64000340","杉林區","64000","高雄市",893,451,442,8359,4807,3552,2640,1241,1399,"107Y06M",103.680321593417,11892,0.221997981836529
"64000350","內門區","64000","高雄市",1102,565,537,10332,5790,4542,3101,1505,1596,"107Y06M",94.7946231262703,14535,0.213347093223254
"64000360","茂林區","64000","高雄市",299,167,132,1532,771,761,162,65,97,"107Y06M",241.391620664607,1993,0.0812844957350728
"64000370","桃源區","64000","高雄市",673,356,317,3324,1761,1563,320,154,166,"107Y06M",975.429689929807,4317,0.0741255501505675
"64000380","那瑪夏區","64000","高雄市",597,296,301,2314,1223,1091,230,95,135,"107Y06M",172.33285590235,3141,0.0732250875517351
"65000010","板橋區","65000","新北市",73939,38422,35517,404046,196848,207198,74466,34270,40196,"107Y06M",21.2696581112706,552451,0.13479204490534
"65000020","三重區","65000","新北市",44873,23192,21681,289041,143013,146028,52230,23630,28600,"107Y06M",17.9740244077426,386144,0.135260420982846
"65000030","中和區","65000","新北市",45109,23604,21505,306310,149355,156955,61335,27522,33813,"107Y06M",19.4339650242287,412754,0.148599407879754
"65000040","永和區","65000","新北市",26855,13848,13007,157299,75036,82263,37847,16497,21350,"107Y06M",6.15815657266609,222001,0.170481214048585
"65000050","新莊區","65000","新北市",58802,30493,28309,314510,152394,162116,43873,20657,23216,"107Y06M",20.6865806701422,417185,0.105164375516857
"65000060","新店區","65000","新北市",29626,15134,14492,222636,107911,114725,49618,22020,27598,"107Y06M",121.158342892714,301880,0.164363323174771
"65000070","樹林區","65000","新北市",25444,13314,12130,138483,68684,69799,19695,9485,10210,"107Y06M",31.9646505493279,183622,0.107258389517596
"65000080","鶯歌區","65000","新北市",11629,5989,5640,65055,32733,32322,9588,4513,5075,"107Y06M",21.8965384449218,86272,0.111136869436202
"65000090","三峽區","65000","新北市",17209,8987,8222,85443,42772,42671,12878,6123,6755,"107Y06M",189.484980175,115530,0.111468882541331
"65000100","淡水區","65000","新北市",20209,10560,9649,127808,60948,66860,23322,10603,12719,"107Y06M",73.0912808773168,171339,0.136116120673052
"65000110","汐止區","65000","新北市",20547,10671,9876,153763,75506,78257,25328,11138,14190,"107Y06M",71.7953922152412,199638,0.126869634037608
"65000120","瑞芳區","65000","新北市",3794,1941,1853,29462,15443,14019,6895,2883,4012,"107Y06M",72.2255563925773,40151,0.171726731588254
"65000130","土城區","65000","新北市",29035,14996,14039,184141,90510,93631,24140,11493,12647,"107Y06M",29.9367714297327,237316,0.101720912201453
"65000140","蘆洲區","65000","新北市",26927,14148,12779,154919,75900,79019,19175,8674,10501,"107Y06M",7.71609719221301,201021,0.0953880440352003
