"TOWN_ID","TOWN","COUNTY_ID","COUNTY","A0A14_CNT","A0A14_M","A0A14_F","A15A64_CNT","A15A64_M","A15A64_F","A65UP_CNT","A65UP_M","A65UP_F","INFO_TIME","Area","POP","ODD"
"65000150","五股區","65000","新北市",10842,5777,5065,65688,33253,32435,9029,4113,4916,"107Y06M",34.326547261276,85559,0.105529517642796
"65000160","泰山區","65000","新北市",11915,6165,5750,58517,28927,29590,8380,3948,4432,"107Y06M",18.0849825350763,78812,0.10632898543369
"65000170","林口區","65000","新北市",18922,9840,9082,77899,37569,40330,10913,5019,5894,"107Y06M",54.2881081453156,107734,0.101295784060742
"65000180","深坑區","65000","新北市",2255,1198,1057,18298,9237,9061,3110,1413,1697,"107Y06M",21.0283653720137,23663,0.131428812914677
"65000190","石碇區","65000","新北市",631,332,299,5460,3098,2362,1599,790,809,"107Y06M",141.834419364018,7690,0.207932379713914
"65000200","坪林區","65000","新北市",497,262,235,4459,2536,1923,1583,805,778,"107Y06M",168.271422488904,6539,0.242085945863282
"65000210","三芝區","65000","新北市",2181,1114,1067,17065,8921,8144,3838,1850,1988,"107Y06M",67.5153002406455,23084,0.166262346213828
"65000220","石門區","65000","新北市",1207,631,576,9010,4686,4324,1959,990,969,"107Y06M",53.0102061148781,12176,0.160890275952694
"65000230","八里區","65000","新北市",4497,2378,2119,29586,14795,14791,4527,2116,2411,"107Y06M",39.7513683967654,38610,0.117249417249417
"65000240","平溪區","65000","新北市",289,143,146,3071,1887,1184,1347,568,779,"107Y06M",71.1594392372978,4707,0.2861695347355
"65000250","雙溪區","65000","新北市",655,348,307,5977,3425,2552,2257,1033,1224,"107Y06M",145.570203981331,8889,0.253909326133423
"65000260","貢寮區","65000","新北市",817,435,382,8939,4692,4247,2657,1199,1458,"107Y06M",101.89582318128,12413,0.214049786514138
"65000270","金山區","65000","新北市",2209,1135,1074,16331,8086,8245,3311,1567,1744,"107Y06M",47.7110650364179,21851,0.151526245938401
"65000280","萬里區","65000","新北市",2167,1125,1042,16135,8155,7980,3849,1850,1999,"107Y06M",63.5664763529787,22151,0.173761906911652
"65000290","烏來區","65000","新北市",901,456,445,4620,2283,2337,817,373,444,"107Y06M",333.455066014396,6338,0.128905017355633
"66000010","中區","66000","臺中市",3230,1632,1598,12104,5987,6117,3228,1586,1642,"107Y06M",0.92761489822748,18562,0.173903674173042
"66000020","東區","66000","臺中市",9464,5038,4426,55840,27833,28007,10763,4981,5782,"107Y06M",6.68788492873685,76067,0.141493683200337
"66000030","南區","66000","臺中市",17743,9286,8457,94040,44891,49149,13639,6051,7588,"107Y06M",7.81594793079469,125422,0.108744877294255
"66000040","西區","66000","臺中市",16771,8689,8082,82177,38743,43434,16651,7442,9209,"107Y06M",6.35034216193987,115599,0.144041038417287
"66000050","北區","66000","臺中市",18517,9608,8909,107968,51592,56376,21177,9437,11740,"107Y06M",7.58431220903805,147662,0.143415367528545
"66000060","西屯區","66000","臺中市",36434,19040,17394,169040,80292,88748,22282,9930,12352,"107Y06M",39.9385439764572,227756,0.0978327684012715
"66000070","南屯區","66000","臺中市",28098,14638,13460,126265,59555,66710,15217,6854,8363,"107Y06M",30.4555249820159,169580,0.0897334591343319
"66000080","北屯區","66000","臺中市",40758,21043,19715,205972,98104,107868,29995,13480,16515,"107Y06M",61.5441907338452,276725,0.108392808745144
"66000090","豐原區","66000","臺中市",24553,12779,11774,120622,59525,61097,21872,10155,11717,"107Y06M",41.6095372323161,167047,0.130933210413836
"66000100","東勢區","66000","臺中市",5567,2885,2682,35427,18502,16925,9483,4504,4979,"107Y06M",107.793577197742,50477,0.187867741743764
"66000110","大甲區","66000","臺中市",11906,6259,5647,55640,28059,27581,10188,4761,5427,"107Y06M",59.3495268614094,77734,0.131062340803252
"66000120","清水區","66000","臺中市",12062,6306,5756,62448,32519,29929,12034,5585,6449,"107Y06M",80.3149053128723,86544,0.139050656313551
"66000130","沙鹿區","66000","臺中市",16149,8324,7825,67205,34196,33009,9871,4515,5356,"107Y06M",40.124673231628,93225,0.105883614910164
"66000150","后里區","66000","臺中市",7747,4003,3744,39297,20159,19138,7569,3552,4017,"107Y06M",57.1956748027326,54613,0.138593375203706
"66000160","神岡區","66000","臺中市",8880,4640,4240,48665,24948,23717,8104,3873,4231,"107Y06M",36.4392239199227,65649,0.123444378436838
"66000170","潭子區","66000","臺中市",15427,8014,7413,81973,40495,41478,11148,5115,6033,"107Y06M",25.9899425651174,108548,0.102701109186719
"66000180","大雅區","66000","臺中市",14927,7669,7258,71831,35844,35987,8813,4137,4676,"107Y06M",32.7923951209851,95571,0.0922141653848971
"66000190","新社區","66000","臺中市",2891,1499,1392,17178,9092,8086,4550,2188,2362,"107Y06M",82.070589802789,24619,0.184816605061132
"66000200","石岡區","66000","臺中市",1594,824,770,10820,5672,5148,2586,1265,1321,"107Y06M",17.8095652809842,15000,0.1724
"66000210","外埔區","66000","臺中市",3989,2074,1915,23904,12331,11573,4260,2050,2210,"107Y06M",42.086520513092,32153,0.132491524896588
"66000220","大安區","66000","臺中市",2101,1081,1020,14004,7541,6463,3170,1537,1633,"107Y06M",35.523045136359,19275,0.164461738002594
"66000230","烏日區","66000","臺中市",10909,5704,5205,55342,27751,27591,8726,4133,4593,"107Y06M",41.6088208893864,74977,0.116382357256225
"66000240","大肚區","66000","臺中市",7887,4105,3782,42247,21739,20508,7249,3455,3794,"107Y06M",38.279528460663,57383,0.126326612411341
"66000250","龍井區","66000","臺中市",11593,5956,5637,58012,29400,28612,8286,3822,4464,"107Y06M",52.1211235042871,77891,0.106379427661732
"66000260","霧峰區","66000","臺中市",8281,4242,4039,48201,24669,23532,9117,4289,4828,"107Y06M",96.6985915009055,65599,0.138980777145993
"66000270","太平區","66000","臺中市",26856,13941,12915,143085,71196,71889,20323,9167,11156,"107Y06M",120.515910327805,190264,0.106814741622167
"66000280","大里區","66000","臺中市",32658,17022,15636,158276,77223,81053,20815,9708,11107,"107Y06M",29.3373861333965,211749,0.0983003461645628
"66000290","和平區","66000","臺中市",1266,665,601,8049,4414,3635,1782,876,906,"107Y06M",1007.83170146403,11097,0.160583941605839
"67000010","新營區","67000","臺南市",10171,5289,4882,55555,27681,27874,12132,5565,6567,"107Y06M",38.6026295698529,77858,0.155822137737933
"67000020","鹽水區","67000","臺南市",2528,1326,1202,18051,9716,8335,4908,2258,2650,"107Y06M",51.5809679381797,25487,0.192568760544591
"67000030","白河區","67000","臺南市",2475,1268,1207,19016,10322,8694,6803,3201,3602,"107Y06M",128.239006934347,28294,0.240439669187814
"67000040","柳營區","67000","臺南市",1818,960,858,15110,8110,7000,4343,2034,2309,"107Y06M",61.5415342112727,21271,0.20417469794556
"67000050","後壁區","67000","臺南市",1905,988,917,15853,8530,7323,5774,2712,3062,"107Y06M",72.410420194825,23532,0.245368009518953
"67000060","東山區","67000","臺南市",1779,926,853,14296,7921,6375,4867,2269,2598,"107Y06M",124.114323387337,20942,0.232403781873747
"67000070","麻豆區","67000","臺南市",5092,2645,2447,31226,16200,15026,8122,3736,4386,"107Y06M",54.8913323536574,44440,0.182763276327633
"67000080","下營區","67000","臺南市",2345,1222,1123,16771,8881,7890,4940,2299,2641,"107Y06M",33.526036648039,24056,0.205354173594945
"67000090","六甲區","67000","臺南市",2435,1267,1168,15830,8366,7464,3995,1881,2114,"107Y06M",66.8087183966545,22260,0.179469901168014
"67000100","官田區","67000","臺南市",2024,1040,984,15645,8191,7454,3653,1646,2007,"107Y06M",72.2799762405942,21322,0.171325391614295
"67000110","大內區","67000","臺南市",760,401,359,6540,3663,2877,2388,1172,1216,"107Y06M",71.0781629531747,9688,0.246490503715937
"67000120","佳里區","67000","臺南市",6986,3647,3339,43261,21579,21682,9070,4189,4881,"107Y06M",39.1135277429355,59317,0.152907260987575
"67000130","學甲區","67000","臺南市",2469,1265,1204,18930,9975,8955,4429,1962,2467,"107Y06M",54.4929549745363,25828,0.171480563729286
"67000140","西港區","67000","臺南市",2509,1270,1239,18191,9384,8807,4047,1836,2211,"107Y06M",33.5308304058076,24747,0.163534973936235
"67000150","七股區","67000","臺南市",2259,1152,1107,16103,8647,7456,4530,2053,2477,"107Y06M",142.569090087916,22892,0.197885724270488
"67000160","將軍區","67000","臺南市",1435,763,672,14163,7454,6709,4117,1843,2274,"107Y06M",47.7766384325578,19715,0.208825767182348
"67000170","北門區","67000","臺南市",914,476,438,8217,4294,3923,2015,857,1158,"107Y06M",65.1845479369085,11146,0.180782343441593
"67000180","新化區","67000","臺南市",4936,2606,2330,31700,16284,15416,6970,3314,3656,"107Y06M",61.941504005882,43606,0.159840388937302
"67000190","善化區","67000","臺南市",7454,3804,3650,34121,17376,16745,7081,3276,3805,"107Y06M",53.43717485915,48656,0.14553189740217
"67000200","新市區","67000","臺南市",5289,2684,2605,26954,13536,13418,4514,2172,2342,"107Y06M",50.433747743343,36757,0.122806540250837
"67000210","安定區","67000","臺南市",3467,1821,1646,22692,11852,10840,4385,2039,2346,"107Y06M",31.8632291383765,30544,0.143563383970665
"67000220","山上區","67000","臺南市",608,305,303,5212,2809,2403,1505,706,799,"107Y06M",27.646589829066,7325,0.205460750853242
"67000230","玉井區","67000","臺南市",1268,660,608,9774,5204,4570,3055,1430,1625,"107Y06M",74.9962279791156,14097,0.216712775767894
"67000240","楠西區","67000","臺南市",805,441,364,6689,3656,3033,2144,1002,1142,"107Y06M",109.009338198353,9638,0.222452791035485
"67000250","南化區","67000","臺南市",760,390,370,6061,3346,2715,1940,984,956,"107Y06M",171.37894633329,8761,0.221435909142792
"67000260","左鎮區","67000","臺南市",281,148,133,3225,1888,1337,1323,667,656,"107Y06M",72.7952399121645,4829,0.273969765997101
"67000270","仁德區","67000","臺南市",8989,4664,4325,56402,28727,27675,10129,4798,5331,"107Y06M",50.425268124532,75520,0.134123411016949
"67000280","歸仁區","67000","臺南市",8947,4691,4256,51205,26035,25170,8312,3973,4339,"107Y06M",54.9535894537502,68464,0.121406870764197
"67000290","關廟區","67000","臺南市",3437,1802,1635,24993,13091,11902,5981,2858,3123,"107Y06M",53.5348112760602,34411,0.173810700066839
"67000300","龍崎區","67000","臺南市",209,106,103,2756,1549,1207,1038,498,540,"107Y06M",62.3220060239309,4003,0.259305520859355
"67000310","永康區","67000","臺南市",32628,17100,15528,178354,87819,90535,23331,10489,12842,"107Y06M",40.8375929271771,234313,0.0995719400972204
"67000320","東區","67000","臺南市",26633,13832,12801,135082,64323,70759,24848,11226,13622,"107Y06M",12.901150285461,186563,0.133188252761802
"67000330","南區","67000","臺南市",12807,6605,6202,92429,46301,46128,19798,8976,10822,"107Y06M",27.9513633590194,125034,0.158340931266695
"67000340","北區","67000","臺南市",17132,8808,8324,95923,47016,48907,19089,8396,10693,"107Y06M",9.83414722456451,132144,0.144456047947693
"67000350","安南區","67000","臺南市",27462,14192,13270,145182,73709,71473,20115,9281,10834,"107Y06M",117.026559573231,192759,0.104353104135215
"67000360","安平區","67000","臺南市",9128,4709,4419,50785,23999,26786,6740,2975,3765,"107Y06M",11.3556890585643,66653,0.101120729749599
"67000370","中西區","67000","臺南市",10427,5438,4989,53576,25966,27610,13842,6217,7625,"107Y06M",6.43086489021003,77845,0.177814888560601
"66000140","梧棲區","66000","臺中市",9044,4614,4430,42718,21492,21226,6383,2998,3385,"107Y06M",32.9888784852836,58145,0.109777280935592
"10014140","金峰鄉","10014","臺東縣",560,290,270,2829,1448,1381,344,155,189,"107Y06M",387.184874830587,3733,0.0921510849182963
"10014160","蘭嶼鄉","10014","臺東縣",737,390,347,3970,2003,1967,374,182,192,"107Y06M",47.2778718456921,5081,0.073607557567408
"10014110","綠島鄉","10014","臺東縣",406,213,193,3272,1761,1511,434,211,223,"107Y06M",14.2498957198519,4112,0.105544747081712
